training_losses,training_recalls
0.5767337,0.45
0.5740713,0.4375
0.5727395,0.4
0.57342476,0.4625
0.58178174,0.45
0.56413937,0.44375
0.5879235,0.4875
0.5875003,0.39375
0.5707566,0.4875
0.57569087,0.35625
0.58893716,0.35625
0.5780507,0.43125
0.5815487,0.45
0.56976986,0.4375
0.56691945,0.5
0.59082764,0.38125
0.57114977,0.44375
0.57990587,0.39375
0.56926584,0.475
0.5631016,0.46875
0.5884795,0.3625
0.5694403,0.41875
0.5760111,0.44375
0.565125,0.43125
0.56782806,0.45
0.5784084,0.3875
0.5824189,0.38125
0.57361263,0.40625
0.5899994,0.35625
0.5747751,0.35
0.5717777,0.45
0.5857928,0.4125
0.5766265,0.51875
0.57791674,0.3875
0.58425796,0.40625
0.5678253,0.45625
0.5749161,0.39375
0.5820941,0.41875
0.58014476,0.4875
0.5655869,0.46875
0.5710087,0.3375
0.58176005,0.36875
0.5712989,0.475
0.58437335,0.4625
0.5815136,0.425
0.5741787,0.45
0.5643403,0.575
0.57640135,0.49375
0.5633167,0.49375
0.574059,0.4375
0.56938183,0.3875
0.58435357,0.3625
0.5779873,0.43125
0.5640975,0.5125
0.58045304,0.5125
0.58244765,0.41875
0.57748973,0.44375
0.59282684,0.4
0.5734889,0.33125
0.56791717,0.425
0.58635885,0.38125
0.57388014,0.41875
0.5827184,0.4
0.5589417,0.44375
0.57274294,0.38125
0.58185315,0.325
0.5748639,0.46875
0.5805393,0.3625
0.56944036,0.5125
0.57907784,0.4375
0.57372844,0.39375
0.5696304,0.46875
0.5737207,0.44375
0.5759894,0.51875
0.575677,0.3375
0.56801903,0.4875
0.5656096,0.54375
0.56755275,0.48125
0.5695414,0.50625
0.57203645,0.46875
0.5841569,0.3875
0.58315784,0.40625
0.56359607,0.45625
0.56354153,0.49375
0.57176614,0.4
0.56116986,0.4125
0.56058156,0.51875
0.58600104,0.35
0.5668458,0.49375
0.5699142,0.45625
0.5701187,0.51875
0.56470776,0.5
0.57164514,0.50625
0.57876503,0.3875
0.5653737,0.45
0.58915377,0.3375
0.57606566,0.36875
0.5635004,0.53125
0.5719496,0.475
0.5887989,0.35625
0.56920016,0.4625
0.5650312,0.49375
0.5702255,0.4
0.5726797,0.5
0.5918584,0.3125
0.5657717,0.4875
0.5935895,0.35
0.56670344,0.55625
0.56986064,0.48125
0.5710645,0.5
0.57785434,0.48125
0.5735948,0.4
0.56499994,0.4875
0.5693467,0.4375
0.5623018,0.4875
0.5737873,0.425
0.5775305,0.43125
0.5711544,0.45
0.557336,0.50625
0.5681319,0.425
0.57298845,0.44375
0.5730848,0.41875
0.569603,0.41875
0.5743991,0.44375
0.5678981,0.475
0.56715804,0.48125
0.5666099,0.39375
0.56310207,0.48125
0.5767104,0.44375
0.577923,0.40625
0.562683,0.54375
0.5742513,0.4375
0.5797928,0.39375
0.5621996,0.45
0.5559627,0.4875
